138.18,118.27
139.24,131.95
141.07,145.58
143.77,159.23
148.64,172.44
157.14,183.57
168.35,191.82
181.11,197.43
194.8,199.06
207.64,196.43
219.02,189.73
228.6,180.55
235.33,168.92
238.81,155.85
240.69,142.66
241.94,129.59
242.29,116.48
149.55,105.99
156.56,100.67
165.46,98.802
174.59,99.643
183.37,102.26
203.9,102.16
211.91,99.347
220.33,98.185
228.61,99.49
235.14,104.22
193.99,114.53
194.36,123.52
194.74,132.5
195.12,141.42
185.77,148.38
190.15,149.83
194.78,150.4
199.06,149.69
203.05,148.1
160.99,116.95
166.65,112.86
173.73,112.91
179.27,117.18
173.23,119.05
166.81,119.28
207.05,116.83
212.45,112.47
219.4,112.09
224.96,116.04
219.34,118.56
213.03,118.51
175.46,166.05
181.64,162.93
188.05,160.7
194.71,161.71
200.9,160.46
206.86,162.45
212.4,165.45
207.08,168.62
200.84,170.07
194.67,170.5
188.12,170.29
181.39,169.05
187.69,165.62
194.71,166.2
201.2,165.38
201.03,163.49
194.63,163.45
187.72,163.75
