125.53,131.39
125.8,145.82
127.57,160.1
130.34,174.03
134.71,187.34
141.8,199.24
151.17,209.25
162.89,217.05
176.88,219.07
190.98,216.63
202.92,208.61
213.3,198.08
220.75,185.88
225.22,172.29
227.8,158.36
229.48,144.22
230.09,129.76
132.31,119.95
138.3,112.5
148.17,110.01
158.61,111.36
167.93,115.27
184.35,114.47
194.4,110.28
204.81,108.97
214.59,111.58
220.74,118.67
176.23,127.57
176.02,137.99
175.83,148.32
175.66,158.9
165.14,165.74
170.42,167.86
175.96,169.52
181.75,167.88
186.93,165.86
142.6,130.04
148.24,125.92
155.73,126.21
161.93,131.13
155.61,132.82
148.09,132.97
190.85,130.66
197.37,125.42
204.74,125.43
210.32,129.24
205.37,132.16
198.04,132.31
157.4,186.13
164.72,182.93
171.45,181.05
176.22,182.5
181.52,181.03
188.69,182.87
195.83,185.53
188.88,191.12
182,193.25
176.31,193.81
171.12,193.35
164.43,191.37
160.63,186.34
171.39,185.86
176.25,186.34
181.68,185.74
192.56,185.96
181.53,186.43
176.1,187.09
171.2,186.51
